site,lat,lon,HR_NAME
11468850,39.7987639,-123.8208548,North Coast
11468900,40.139309,-123.991423,North Coast
11468990,40.22291758,-124.1108743,North Coast
11469000,40.31319125,-124.283381,North Coast
11469500,40.3262464,-124.2942152,North Coast
11469800,39.43821498,-122.760828,North Coast
11470500,39.40793878,-122.9713896,North Coast
11471000,39.366552,-123.1275046,North Coast
11471099,39.36155219,-123.1283379,North Coast
11471100,39.36155219,-123.1283379,North Coast
11471105,39.36155219,-123.1283379,North Coast
11471106,39.36155219,-123.1283379,North Coast
11471500,39.38849566,-123.1161157,North Coast
11471800,39.4193285,-123.2288971,North Coast
11472000,39.49293695,-123.2122311,North Coast
11472150,39.62487958,-123.3414017,North Coast
11472160,39.449329,-123.3980667,North Coast
11472180,39.42044444,-123.3406667,North Coast
11472200,39.6179353,-123.3566796,North Coast
11472500,39.6887672,-123.3594584,North Coast
11472800,39.8290433,-123.070842,North Coast
11472900,39.82071008,-123.0816755,North Coast
11473000,39.82626555,-123.092787,North Coast
11473100,39.82487658,-123.1413996,North Coast
11473500,39.809599,-123.1386214,North Coast
11473530,39.84154269,-123.2775148,North Coast
11473600,39.83043198,-123.1833454,North Coast
11473700,39.74904414,-123.1811214,North Coast
11473800,39.64904555,-123.1211188,North Coast
11473900,39.70626687,-123.3252913,North Coast
11473980,39.71237785,-123.342514,North Coast
11474400,39.91376406,-123.2497379,North Coast
11474500,39.9373742,-123.3469626,North Coast
11474700,40.03709319,-123.5539129,North Coast
11474750,40.0943149,-123.5094693,North Coast
11474780,40.11014836,-123.4675244,North Coast
11474781,40.11014836,-123.4675244,North Coast
11475000,40.2182,-123.63253,North Coast
11475100,40.2370885,-123.635864,North Coast
11475500,39.71904456,-123.652796,North Coast
11475560,39.7295997,-123.6439073,North Coast
11475610,39.6715454,-123.4983497,North Coast
11475700,39.7623764,-123.5427963,North Coast
11475800,39.8745957,-123.7205775,North Coast
11475940,40.0740346,-123.7700277,North Coast
11476000,40.09292279,-123.799751,North Coast
11476500,40.18181004,-123.7761426,North Coast
11476600,40.351528,-124.0050423,North Coast
11476700,40.4081949,-123.9011523,North Coast
11477000,40.49152384,-124.0997699,North Coast
11477400,40.48375316,-123.5875363,North Coast
11477425,40.46430877,-123.6008694,North Coast
11477450,40.46375317,-123.605314,North Coast
11477475,40.4829196,-123.6089257,North Coast
11477476,40.4829196,-123.6089257,North Coast
11477500,40.4845857,-123.6580935,North Coast
11477700,40.44430835,-123.6553145,North Coast
11478000,40.46791759,-123.7997627,North Coast
11478400,40.4743054,-123.8833758,North Coast
11478500,40.48041636,-123.890876,North Coast
11479000,40.5706898,-124.0497717,North Coast
11479500,40.5376347,-124.0633818,North Coast
11479700,40.70262865,-124.1567245,North Coast
11480000,40.7915195,-124.0039459,North Coast
11480390,40.28431329,-123.3353034,North Coast
11480410,40.37097808,-123.4361411,North Coast
11480500,40.45819874,-123.5108673,North Coast
11480750,40.7637446,-123.8900542,North Coast
11480780,40.84624116,-123.9828363,North Coast
11480800,40.88624107,-123.9417258,North Coast
11481000,40.9098497,-124.0606183,North Coast
11481200,41.0098479,-124.0814555,North Coast
11481500,40.90596479,-123.815335,North Coast
11482000,40.95818539,-123.8372815,North Coast
11482110,41.060683,-123.8670069,North Coast
11482120,41.08901555,-123.907564,North Coast
11482125,41.08846,-123.9083973,North Coast
11482130,41.1173484,-123.9128425,North Coast
11482200,41.1717918,-123.9497889,North Coast
11482468,41.3220674,-124.0206264,North Coast
11482500,41.2992896,-124.0511825,North Coast
11488700,41.6721062,-121.2580392,North Coast
11489500,41.5465435,-121.9183368,North Coast
11490000,41.59154288,-121.9094478,North Coast
11490500,41.7165397,-122.0011175,North Coast
11512000,41.97486349,-122.3644638,North Coast
11512500,41.97208569,-122.3691862,North Coast
11516530,41.92791865,-122.4441882,North Coast
11516600,41.91819465,-122.5636365,North Coast
11516750,41.4712593,-122.4408518,North Coast
11516900,41.75292395,-122.3005717,North Coast
11517000,41.70903196,-122.5380787,North Coast
11517500,41.8229179,-122.5955813,North Coast
11517800,41.89430115,-122.823367,North Coast
11517900,41.4015341,-122.6533582,North Coast
11517950,41.3393118,-122.7197485,North Coast
11518000,41.32153425,-122.7228039,North Coast
11518050,41.30375579,-122.7766945,North Coast
11518200,41.2956996,-122.810029,North Coast
11518300,41.32819846,-122.8411416,North Coast
11518310,41.34430955,-122.830308,North Coast
11518600,41.63319568,-122.7478075,North Coast
11519000,41.58652456,-123.0044807,North Coast
11519500,41.64069017,-123.015037,North Coast
11520000,41.7754361,-123.0351139,North Coast
11520500,41.8537379,-123.2322733,North Coast
11521000,41.78873747,-123.3072754,North Coast
11521500,41.83512325,-123.3831113,North Coast
11522200,41.74318137,-123.3556097,North Coast
11522260,41.5248458,-123.527561,North Coast
11522300,41.22207858,-123.2511584,North Coast
11522400,41.2670767,-123.3044946,North Coast
11522500,41.3765154,-123.4770026,North Coast
11523000,41.3034599,-123.5345036,North Coast
11523030,41.2401274,-123.544225,North Coast
11523050,41.24012608,-123.6581165,North Coast
11523200,41.1112571,-122.7055788,North Coast
11523700,41.09292298,-122.7539134,North Coast
11524000,40.9843126,-122.6711323,North Coast
11525500,40.7247222,-122.801111,North Coast
11525530,40.7245899,-122.8347458,North Coast
11525535,40.71486778,-122.8361346,North Coast
11525540,40.6975,-122.8530556,North Coast
11525600,40.67625718,-122.8305783,North Coast
11525630,40.68653456,-122.8611348,North Coast
11525655,40.6726453,-122.9205805,North Coast
11525670,40.65181225,-122.9144689,North Coast
11525750,40.6857006,-122.9339144,North Coast
11525800,40.67070068,-122.9428032,North Coast
11525854,40.64527778,-122.9566667,North Coast
11525900,40.65014495,-122.9853039,North Coast
11526000,40.6673669,-122.9936377,North Coast
11526250,40.7284768,-123.0619736,North Coast
11526400,40.76653148,-123.1144757,North Coast
11526500,40.7818089,-123.1283653,North Coast
11527000,40.7887498,-123.4400401,North Coast
11527400,40.9456916,-123.3830998,North Coast
11527500,40.9181918,-123.4108774,North Coast
11528000,40.8920791,-123.5844934,North Coast
11528100,40.3748675,-123.3275275,North Coast
11528200,40.608197,-123.451147,North Coast
11528400,40.5193119,-123.0858592,North Coast
11528440,40.5529221,-123.1436387,North Coast
11528500,40.62597465,-123.434758,North Coast
11528700,40.6498627,-123.4942046,North Coast
11529000,40.841525,-123.5678243,North Coast
11529500,40.889579,-123.6011606,North Coast
11529800,40.9470768,-123.660887,North Coast
11530000,41.049852,-123.673668,North Coast
11530020,41.05151855,-123.6808905,North Coast
11530150,41.27262436,-123.7900645,North Coast
11530300,41.44984419,-123.895625,North Coast
11530500,41.5109543,-123.9795164,North Coast
11531000,41.8473352,-123.967575,North Coast
11531500,41.85455734,-123.970353,North Coast
11532000,41.7915024,-124.026187,North Coast
11532500,41.7915026,-124.0761887,North Coast
11532620,41.742059,-124.1028553,North Coast
11532700,41.92150126,-124.1470273,North Coast
11533000,41.9598342,-124.2034195,North Coast
14361590,42.00623585,-123.1575489,North Coast
14361600,42.0040833,-123.1486944,North Coast
10289000,38.19186474,-119.2101533,North Lahontan
10289500,38.17380969,-119.2337656,North Lahontan
10290000,38.15408779,-119.2593223,North Lahontan
10290500,38.17214225,-119.3246032,North Lahontan
10291500,38.23880787,-119.3259923,North Lahontan
10292000,38.28269628,-119.29988,North Lahontan
10293000,38.3276958,-119.2148759,North Lahontan
10295200,38.3304697,-119.5523913,North Lahontan
10295500,38.3607482,-119.4448868,North Lahontan
10296000,38.3796366,-119.4501649,North Lahontan
10296500,38.51324495,-119.4498872,North Lahontan
10296700,38.63638889,-119.5063889,North Lahontan
10296750,38.63666667,-119.5075,North Lahontan
10302500,38.49990937,-119.6843414,North Lahontan
10303000,38.5165765,-119.6010046,North Lahontan
10303500,38.5749086,-119.634339,North Lahontan
10304500,38.59990726,-119.7760107,North Lahontan
10308000,38.6935168,-119.7815658,North Lahontan
10308200,38.7146274,-119.7648985,North Lahontan
10308201,38.7137941,-119.7648985,North Lahontan
10308783,38.7012952,-119.6565614,North Lahontan
103087835,38.7033333,-119.6591667,North Lahontan
10308784,38.70407294,-119.6587837,North Lahontan
10308785,38.70407294,-119.6587837,North Lahontan
103087855,38.7058333,-119.6566667,North Lahontan
103087865,38.70555556,-119.6622222,North Lahontan
103087885,38.7093506,-119.6623949,North Lahontan
103087887,38.7093506,-119.6623949,North Lahontan
103087889,38.7108333,-119.6630556,North Lahontan
10308789,38.7168505,-119.6601726,North Lahontan
103087891,38.7086111,-119.648611,North Lahontan
103087892,38.71240619,-119.6540613,North Lahontan
10308792,38.73573925,-119.6454497,North Lahontan
10308794,38.73573925,-119.6454497,North Lahontan
10309025,38.7482384,-119.8160107,North Lahontan
10309030,38.77684935,-119.7598983,North Lahontan
10310000,38.76962765,-119.833789,North Lahontan
10310300,38.82712805,-119.7998997,North Lahontan
10336580,38.79629598,-120.0190718,North Lahontan
10336593,38.80185155,-120.0160162,North Lahontan
10336600,38.8429629,-120.0246274,North Lahontan
103366092,38.8485185,-120.0271275,North Lahontan
103366097,38.87375,-120.01,North Lahontan
10336610,38.9224078,-119.9915706,North Lahontan
10336626,38.9215744,-120.0612952,North Lahontan
10336630,38.95129664,-120.1115747,North Lahontan
10336640,39.0357409,-120.1257429,North Lahontan
10336645,39.05185197,-120.1185209,North Lahontan
10336650,39.07601837,-120.1526895,North Lahontan
10336655,39.08712935,-120.1743572,North Lahontan
10336658,39.09074049,-120.1626903,North Lahontan
10336660,39.10740708,-120.1621352,North Lahontan
10336670,39.13574009,-120.220749,North Lahontan
10336672,39.1412956,-120.2193602,North Lahontan
10336674,39.1407401,-120.2121377,North Lahontan
10336675,39.1368513,-120.1810255,North Lahontan
10336676,39.1321292,-120.1576913,North Lahontan
10336684,39.19851798,-120.0982471,North Lahontan
10336686,39.2268512,-120.0815809,North Lahontan
10336689,39.23824014,-120.0396357,North Lahontan
10336770,38.8632405,-119.9582367,North Lahontan
10336775,38.90339444,-119.9688917,North Lahontan
10336778,38.90879645,-119.9618478,North Lahontan
10336780,38.9199077,-119.9724036,North Lahontan
10336785,38.92129659,-119.9712924,North Lahontan
10336790,38.93213,-119.9787926,North Lahontan
10337500,39.16629577,-120.1443586,North Lahontan
10338000,39.2962952,-120.2054752,North Lahontan
10338001,39.29157298,-120.209364,North Lahontan
10338100,39.320461,-120.2974226,North Lahontan
10338500,39.3235172,-120.2343654,North Lahontan
10338700,39.32101739,-120.2079759,North Lahontan
10339401,39.32879577,-120.1176964,North Lahontan
10339410,39.35305556,-120.1194444,North Lahontan
10339419,39.36851817,-120.1149198,North Lahontan
10339499,39.32879577,-120.1176964,North Lahontan
10340299,39.37324026,-120.131587,North Lahontan
10340500,39.37324026,-120.131587,North Lahontan
10340501,39.37324026,-120.131587,North Lahontan
10341950,39.4915715,-120.2927043,North Lahontan
10342000,39.5012939,-120.2774263,North Lahontan
10342001,39.5012939,-120.2774263,North Lahontan
10343000,39.4565717,-120.2871477,North Lahontan
10343200,39.47823908,-120.2327026,North Lahontan
10343500,39.43157246,-120.2379793,North Lahontan
10344299,39.43574106,-120.084366,North Lahontan
10344400,39.43574106,-120.084366,North Lahontan
10344401,39.43574106,-120.084366,North Lahontan
10344500,39.38685177,-120.0954757,North Lahontan
